,counts,coupon_name
344,11,[강의 오픈 지연 보상] 부동산/금융 카테고리 3만원 할인 쿠폰
345,10,[무료수강권] 김민태 프론트엔드 아카데미 제 2강 100% 할인 쿠폰
346,10,[예외 재발급] [40% 할인 쿠폰] 한 번에 끝내는 프론트엔드 개발 언어 올인원 패키지 Online. 
347,10,[재결제쿠폰][WELCOME] The Red 강의 3만원 할인
348,10,[규정외재발급][WELCOME] 온라인 강의 3만원 할인
349,10,[체험단 이벤트 무료수강권] 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트
350,10,[재결제쿠폰]초격차 패키지 : M&A 실무 완전 정복
351,10,(B2B) 임팩트커리어 우수 수강생 대상 쿠폰
352,10,(예외재발급) [WELCOME] 온라인 강의 3만원 할인
353,10,[규정외재발급][WELCOME] The Red 강의 2만원 할인
